model,balanced_accuracy,macro_f1,macro_auc_ovr
random_forest,0.8756386320098798,0.8804157856541684,0.9826591680260227
xgboost,0.8683552612386592,0.8854850611527169,0.9833643821945351
svm_rbf,0.8669321353209449,0.812534811260926,0.9697793191354341
lightgbm,0.8627055437245349,0.873689564917294,0.9801393346534303
gradient_boosting,0.8560518101461536,0.8720418106121003,0.9631289169910865
logistic_regression,0.8512422571642503,0.7854689366786141,0.9541538217820972
decision_tree,0.8307476880889174,0.839040759061587,0.8714237073450333
